step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
200,400.000000,26.045993,-1935.065032,-1996.434458,53.354538,-4.629648,-6.806828,0.103980
201,400.000000,26.885383,-1929.899797,-1993.246989,53.891069,-4.629648,-6.806828,0.103985
202,400.000000,26.648419,-1924.456473,-1987.245332,65.933786,-4.629648,-6.806828,0.103978
203,400.000000,26.762180,-1908.546721,-1971.603622,48.944609,-4.629648,-6.806828,0.103824
204,400.000000,25.848574,-1933.282408,-1994.186677,47.247676,-4.629648,-6.806828,0.103878
205,400.000000,26.900912,-1922.805500,-1986.189281,49.312359,-4.629648,-6.806828,0.103750
206,400.000000,27.034870,-1923.198628,-1986.898041,50.223162,-4.629648,-6.806828,0.103768
207,400.000000,27.117151,-1922.378929,-1986.272211,49.367703,-4.629648,-6.806828,0.103786
208,400.000000,27.064591,-1923.482559,-1987.251999,51.576453,-4.629648,-6.806828,0.103756
209,400.000000,27.117151,-1924.729971,-1988.623253,52.070050,-4.629648,-6.806828,0.103738
210,400.000000,27.117151,-1914.197415,-1978.090697,74.627143,-4.629648,-6.806828,0.103661
211,400.000000,27.185998,-1912.985017,-1977.040516,78.580109,-4.629648,-6.806828,0.103608
212,400.000000,27.185998,-1913.187785,-1977.243284,75.492274,-4.629648,-6.806828,0.103498
213,400.000000,27.372888,-1893.978898,-1958.474747,69.448758,-4.629648,-6.806828,0.103586
214,400.000000,27.861946,-1892.896641,-1958.544804,67.111513,-4.629648,-6.806828,0.103570
215,400.000000,27.833832,-1887.176307,-1952.758229,65.877685,-4.629648,-6.806828,0.103461
216,400.000000,27.594076,-1890.795315,-1955.812325,66.482041,-4.629648,-6.806828,0.103445
217,400.000000,27.795198,-1881.446932,-1946.937824,65.683056,-4.629648,-6.806828,0.103372
218,400.000000,27.663840,-1908.826214,-1974.007602,69.701242,-4.629648,-6.806828,0.103413
219,400.000000,27.696384,-1911.397345,-1976.655411,71.104052,-4.629648,-6.806828,0.103432
220,400.000000,27.484229,-1911.781471,-1976.539660,72.096281,-4.629648,-6.806828,0.103360
221,400.000000,27.156293,-1922.387550,-1986.373058,71.534916,-4.629648,-6.806828,0.103435
222,400.000000,26.972215,-1918.217287,-1981.769072,74.567904,-4.629648,-6.806828,0.103374
223,400.000000,27.092641,-1923.952370,-1987.787901,75.794280,-4.629648,-6.806828,0.103270
